"Formation_Category,Formation_Name,Location/Notes"
"Headquarters,Service Headquarters,Abuja"

"Zonal Command,Bauchi Zonal Command,Bauchi"
"Zonal Command,Benin Zonal Command,Benin"
"Zonal Command,Ibadan Zonal Command,Ibadan"
"Zonal Command,Kaduna Zonal Command,Kaduna"
"Zonal Command,Lagos Zonal Command,Lagos"
"Zonal Command,Makurdi Zonal Command,Makurdi"
"Zonal Command,Minna Zonal Command,Minna"
"Zonal Command,Owerri Zonal Command,Owerri"

"State Command,Abia State Command,Abia"
"State Command,Adamawa State Command,Adamawa"
"State Command,Akwa Ibom State Command,Akwa Ibom"
"State Command,Anambra State Command,Anambra"
"State Command,Bauchi State Command,Bauchi"
"State Command,Bayelsa State Command,Bayelsa"
"State Command,Benue State Command,Benue"
"State Command,Borno State Command,Borno"
"State Command,Cross River State Command,Cross River"
"State Command,Delta State Command,Delta"
"State Command,Ebonyi State Command,Ebonyi"
"State Command,Edo State Command,Edo"
"State Command,Ekiti State Command,Ekiti"
"State Command,Enugu State Command,Enugu"
"State Command,Gombe State Command,Gombe"
"State Command,Imo State Command,Imo"
"State Command,Jigawa State Command,Jigawa"
"State Command,Kaduna State Command,Kaduna"
"State Command,Kano State Command,Kano"
"State Command,Katsina State Command,Katsina"
"State Command,Kebbi State Command,Kebbi"
"State Command,Kogi State Command,Kogi"
"State Command,Kwara State Command,Kwara"
"State Command,Lagos State Command,Lagos"
"State Command,Nasarawa State Command,Nasarawa"
"State Command,Niger State Command,Niger"
"State Command,Ogun State Command,Ogun"
"State Command,Ondo State Command,Ondo"
"State Command,Osun State Command,Osun"
"State Command,Oyo State Command,Oyo"
"State Command,Plateau State Command,Plateau"
"State Command,Rivers State Command,Rivers"
"State Command,Sokoto State Command,Sokoto"
"State Command,Taraba State Command,Taraba"
"State Command,Yobe State Command,Yobe"
"State Command,Zamfara State Command,Zamfara"
"State Command,FCT Command,Abuja"



"Training Institution,Immigration Training School Kano,Kano"
"Training Institution,Immigration Training School Sokoto,Sokoto"
"Training Institution,Immigration Training School Rivers,Rivers"
"Training Institution,Immigration Training School Imo,Imo"




"Passport Front Desk,State House Desk,Abuja"
"Passport Front Desk,National Assembly Desk,Abuja"
"Passport Front Desk,Ministry of Foreign Affairs Desk,Abuja"




"Air Border,Abuja Airport Command,Abuja"
"Air Border,Lagos Airport Command,Lagos"
"Air Border,Kano Airport Command,Kano"
"Air Border,Port Harcourt Airport Command,Port Harcourt"
"Air Border,Enugu Airport Command,Enugu"
